topics/category,medicine,health professions,psychology,arts and humanities,computer science,"economics, econometrics and finance",engineering,social sciences,"business, management and accounting",immunology and microbiology,"pharmacology, toxicology and pharmaceutics","biochemistry, genetics and molecular biology",neuroscience,nursing,agricultural and biological sciences,mathematics,environmental science,decision sciences,multidisciplinary,dentistry,chemical engineering,materials science,earth and planetary sciences,physics and astronomy
other,179,4,19,12,7,1,0,61,0,9,10,25,5,25,2,3,1,3,0,0,0,0,0,0
25,233,9,29,13,4,3,4,57,3,37,40,39,9,47,9,6,8,2,5,3,0,0,0,1
3,25,3,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0
2,24,1,3,2,0,0,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0
9,22,0,0,3,0,1,0,6,1,2,0,3,4,0,0,2,2,1,0,0,0,0,0,0
1,21,3,3,0,3,1,2,0,1,4,2,6,3,0,1,3,0,0,0,0,0,0,0,0
17,21,0,6,4,2,1,2,0,1,0,0,4,0,4,3,0,0,0,0,0,0,0,1,0
21,16,0,0,2,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
23,16,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
5,0,2,0,0,2,1,0,6,2,2,4,0,0,5,0,1,2,2,0,0,0,0,0,0
13,0,2,0,0,0,1,0,7,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
6,0,1,0,0,1,0,1,8,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
7,0,1,0,2,0,0,1,6,0,2,0,0,0,8,0,1,0,0,1,1,0,0,0,0
10,0,0,3,0,2,1,1,0,0,3,0,3,0,0,2,0,0,1,0,0,0,0,0,0
19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
22,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
16,0,0,0,5,0,1,2,7,1,0,0,0,0,3,1,0,1,0,0,2,1,1,0,0
20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,7,0,2,2,3,0,0,1,1,1,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
