topics/category,agricultural and biological sciences,arts and humanities,"biochemistry, genetics and molecular biology","business, management and accounting",chemical engineering,computer science,decision sciences,"economics, econometrics and finance",engineering,environmental science,health professions,immunology and microbiology,materials science,mathematics,medicine,multidisciplinary,neuroscience,nursing,"pharmacology, toxicology and pharmaceutics",physics and astronomy,psychology,social sciences
other,0,0.16,0.13953488372093023,0,0,0,0,0,0,0.08333333333333333,0.16666666666666666,0.1111111111111111,0,0,0.2127659574468085,0,0.14285714285714285,0.2033898305084746,0.044444444444444446,0,0.3018867924528302,0.15853658536585366
8,0.8888888888888888,0.52,0.6976744186046512,0.5714285714285714,1.0,0.8181818181818182,0.6666666666666666,0.8,1.0,0.3333333333333333,0.16666666666666666,0.7777777777777778,1.0,0.3333333333333333,0.6134751773049646,0.6,0.5714285714285714,0.5084745762711864,0.7333333333333333,1.0,0.4339622641509434,0.5609756097560976
7,0.1111111111111111,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.12,0.046511627906976744,0,0,0,0,0,0,0.25,0,0,0,0,0.03546099290780142,0,0.09523809523809523,0.06779661016949153,0.044444444444444446,0,0,0.06097560975609756
10,0,0.08,0,0,0,0,0,0,0,0,0,0.044444444444444446,0,0,0,0.2,0,0,0.06666666666666667,0,0,0
11,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04878048780487805
2,0,0.04,0.023255813953488372,0,0,0.18181818181818182,0.16666666666666666,0,0,0,0.08333333333333333,0.022222222222222223,0,0.1111111111111111,0.0425531914893617,0,0.047619047619047616,0,0,0,0.05660377358490566,0
1,0,0,0.046511627906976744,0.2857142857142857,0,0,0,0.2,0,0.08333333333333333,0.16666666666666666,0.022222222222222223,0,0,0,0,0,0.05084745762711865,0,0,0,0.10975609756097561
13,0,0,0.046511627906976744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0.2222222222222222,0,0,0,0,0.06666666666666667,0,0,0
4,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.0425531914893617,0.2,0.047619047619047616,0,0.044444444444444446,0,0.05660377358490566,0
3,0,0,0,0,0,0,0,0,0,0,0.25,0.022222222222222223,0,0.1111111111111111,0.05319148936170213,0,0.09523809523809523,0.11864406779661017,0,0,0.09433962264150944,0.06097560975609756
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05084745762711865,0,0,0.05660377358490566,0
